127.0.0.1 | 2026-04-20 21:42:27 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:42:27 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:42:27 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:42:27 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:42:27 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:42:27 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:42:27 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:42:27 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:42:45 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:42:45 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:44:31 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:44:31 | GET /test.jpg | 200
127.0.0.1 | 2026-04-20 21:44:31 | HEAD /index.html | 200
127.0.0.1 | 2026-04-20 21:44:31 | GET /this_file_does_not_exist.html | 404
127.0.0.1 | 2026-04-20 21:44:31 | GET /../server.py | 403
127.0.0.1 | 2026-04-20 21:44:31 | UNKNOWN UNKNOWN | 400
127.0.0.1 | 2026-04-20 21:44:31 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:44:31 | GET /index.html | 304
127.0.0.1 | 2026-04-20 21:44:31 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:44:31 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:44:31 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:44:31 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:44:31 | GET /index.html | 200
127.0.0.1 | 2026-04-20 21:44:31 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:00:15 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:00:15 | GET /test.jpg | 200
127.0.0.1 | 2026-04-20 22:00:15 | HEAD /index.html | 200
127.0.0.1 | 2026-04-20 22:00:15 | GET /this_file_does_not_exist.html | 404
127.0.0.1 | 2026-04-20 22:00:15 | GET /../server.py | 403
127.0.0.1 | 2026-04-20 22:00:15 | UNKNOWN UNKNOWN | 400
127.0.0.1 | 2026-04-20 22:00:16 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:00:16 | GET /index.html | 304
127.0.0.1 | 2026-04-20 22:00:16 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:00:16 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:00:16 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:00:16 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:00:16 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:00:16 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:01:33 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:01:33 | GET /test.jpg | 200
127.0.0.1 | 2026-04-20 22:01:33 | HEAD /index.html | 200
127.0.0.1 | 2026-04-20 22:01:33 | GET /this_file_does_not_exist.html | 404
127.0.0.1 | 2026-04-20 22:01:33 | GET /../server.py | 403
127.0.0.1 | 2026-04-20 22:01:33 | UNKNOWN UNKNOWN | 400
127.0.0.1 | 2026-04-20 22:01:33 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:01:33 | GET /index.html | 304
127.0.0.1 | 2026-04-20 22:01:33 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:01:33 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:01:33 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:01:33 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:01:33 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:01:33 | GET /index.html | 200
127.0.0.1 | 2026-04-20 22:01:33 | GET /index.html | 200
